ID,Pages,Views,Title,Summary
401341912,3,255,English Grammar,"English Grammar  description English grammar is the set of principles and rules dealing with word structures (morphology) and sentence structures (syntax) in the English language. While there are some differences in grammar across English dialects, they are relatively minor compared to variations in vocabulary and pronunciation between regions and social groups. Descriptive grammar describes how the language is actually used, whereas prescriptive grammar focuses on rules of appropriate or standard use. The grammatical rules of English are determined by the nature of the language itself, but rules of use are determined by English-speaking communities. English Grammar  description English"
377697705,374,2K,English Grammar Exercises,"English Grammar Exercises  description This document contains the contents section of an English grammar workbook. It lists 232 exercises covering a wide range of English grammar topics, including parts of speech, verb tenses, passive voice, relative clauses, conditionals, and more. The exercises are organized from basic concepts like pronouns and articles to more advanced topics such as reduced relative clauses. It lists 232 exercises covering a wide range of English grammar topics, including parts of speech, verb tenses, passive voice, relative clauses, conditionals,"
522685324,298,1K,English Grammar For ESL Learners,"English Grammar For ESL Learners   The document provides an overview of basic English grammar rules for ESL learners, including: 1) Sentence structure rules around subjects, predicates, objects, clauses, and phrases. 2) Parts of speech such as nouns, pronouns, verbs, adjectives, adverbs, prepositions, conjunctions, and interjections. 3) Usage of definite (the) and indefinite (a, an) articles depending on whether the noun is specific or general. 4) Formation of comparative and superlative forms of adjectives to show comparison between two or more items. English Grammar For ESL Learners   The document provides an overview of"
265240398,43,2K,Free English Grammar Ebook Beginner,"Free English Grammar Ebook Beginner   This document provides an overview and table of contents for an English grammar book that teaches beginner grammar topics. The book covers topics such as the present simple, past simple, articles, pronouns, prepositions, and more. Each grammar topic includes explanations, examples, exercises, and quizzes. The goal is to help English learners improve their grammar skills through accessible explanations and practice. The book covers"
559397655,25,155,339 English Grammar Tests,339 English Grammar Tests 339 English Grammar Tests About Support Legal Social Get our free apps  Get our free apps
636822228,34,1K,English Grammar Exercises For Kids,"English Grammar Exercises For Kids   This document provides grammar exercises for kids to practice parts of speech including articles (a, an), verbs (is, are, am, has, have), singular and plural nouns, antonyms, homonyms, and sentence structure. It includes tips, definitions, examples and over 30 exercises for kids to complete with guidance. The exercises help kids learn when to use a or an, verbs like is and are, singular and plural forms, opposites, homonyms, and how to write sentences. English Grammar Exercises For Kids   This document provides grammar exercises for kids to practice"
408059363,183,30K,English Grammar,English Grammar  title Grammar English Grammar  title Grammar About Support Legal Social Get our free apps  Get our free apps
252634299,10,496,Advanced English Grammar,"Advanced English Grammar  description The document provides information about learning advanced English grammar. It discusses how some learners struggle with grammatical exceptions and details. It then lists various grammatical concepts that can intimidate students, such as phrasal verbs, infinitives, and dangling modifiers. The document recommends learning grammar in a systematic, practical, and sometimes entertaining way through the Advanced English Grammar website. It then provides examples and exercises on topics like articles, punctuation, and modal verbs to help students learn advanced English grammar. It discusses how"
601576693,32,210,SAMPLE - Teaching English Grammar,"SAMPLE - Teaching English Grammar  description The document provides an overview of key points for teaching English grammar. It discusses [1] defining grammar points for different levels from beginner to advanced, [2] the key parts of speech, and [3] different approaches to teaching grammar including communicative, task-based, and student-centered approaches. Traditional grammar is also briefly discussed. The document serves as an outline for a course on teaching English grammar from May 9-14, 2022. It discusses [1] defining grammar points for"
395613567,53,949,English Grammar,English Grammar The present progressive tenses English Grammar The present progressive tenses About Support Legal Social Get our free apps  Get our free apps
200708663,3,274,English Grammar Exercises,"English Grammar Exercises   The document provides a series of sentences with verbs missing or in the incorrect tense. The task is to fill in the blanks with the correct verb forms and tenses. There are two main sections - the first with 15 sentences using simple present, present continuous, simple past and other tenses, and the second with 30 sentences using future tenses to talk about events that will occur before a certain time."
415984964,7,101,Simple Present Tense (1) : I We You (Singular) You (Plural) They,"Simple Present Tense (1) : I We You (Singular) You (Plural) They   This document provides instruction on using the simple present tense in English grammar exercises. It discusses: 1. Using the simple present tense to talk about things that are currently true, habitual actions, and general truths. 2. Forming positive and negative statements with the verb ""to be"" and with other verbs by adding ""-s"" or changing the verb form for third person singular subjects. 3. Several exercises that have students form sentences in the simple present tense by filling in blanks with the correct verb"
242292639,51,612,English Grammar,"English Grammar  description This document is an ebook about learning English grammar. It contains an introduction thanking the reader for downloading the book and providing contact information. It also includes a table of contents that lists 26 grammar units that will be covered in the book such as verb tenses, pronouns, and questions. The document provides high-level overviews and examples to introduce common grammar structures in English. It also includes a"
715793537,539,905,JVR English Grammar,"JVR English Grammar  description This document provides information about parts of speech in the English language. It begins by defining vowels and consonants that make up the English alphabet. It then defines the eight main parts of speech as nouns, verbs, pronouns, adjectives, adverbs, prepositions, conjunctions, and interjections. The document focuses on defining and providing examples of nouns and verbs. Nouns are defined as names of persons, places or things, and verbs are defined as words that express actions or states of being. Exercises are provided to identify nouns and verbs in sentences. JVR English Grammar  description This"
226869958,374,5K,English Grammar Exercises,"English Grammar Exercises  description This document contains 239 grammar exercises covering a wide range of English grammar topics. The exercises are organized into sections on pronouns, articles, nouns, adjectives, verbs (in various tenses), conditionals, passive voice, infinitives, participles, relative clauses, and causatives. The goal is to help learners practice and improve their understanding of core English grammar through structured exercises. The exercises are organized into sections on pronouns, articles, nouns, adjectives, verbs (in various tenses), conditionals, passive voice, infinitives, participles,"
166501822,26,2K,Basic English Grammar Online,"Basic English Grammar Online  description The document provides an overview of basic English grammar topics including articles, nouns, adjectives, adverbs, pronouns and verbs. Each topic includes explanations of the grammar rules and links to exercises. It is intended as an online resource for learning English grammar. About Support Legal Social Get our"
492616174,320,68K,English For Everyone - English Grammar Guide - Practice Book,English For Everyone - English Grammar Guide - Practice Book  title English For Everyone - English Grammar Guide - Practice Book  title About Support Legal Social Get our free apps  Get our free apps
419385438,151,722,English Grammar Notes,"English Grammar Notes  description This document is an excerpt from a book about English grammar that is intended to simplify this topic for secondary school students and English language learners. The excerpt outlines the table of contents which includes 5 chapters that cover parts of speech, word formation, phrases, sentences, and capitalization and punctuation. It aims to define and explain each part of speech in a clear, straightforward manner with examples and exercises for practice. English Grammar Notes  description This document is an excerpt from a book about English grammar that is intended to simplify this topic for"
478622207,201,3K,PERFECTING Your English Grammar,"PERFECTING Your English Grammar  description The document discusses different sentence patterns in English grammar: 1. Subject + Intransitive Verb (S+IV) pattern where the subject performs an action but nothing receives the action. Examples given are ""The doctor arrived"" and ""Someone acts."" 2. Subject + Transitive Verb + Direct Object (S+TV+DO) pattern where the subject performs an action that is received by a direct object. Examples are ""Cindy caught the ball"" and ""He mailed a letter."" 3. Subject + Linking Verb + Complement (S+LV+C) pattern where the subject and complement complete each other. Examples include ""Peter is a doctor"" and"
382538134,20,598,English Grammar Exercises For High-School Students,"English Grammar Exercises For High-School Students   This document provides an overview of English grammar exercises for high school students. It covers topics such as nouns and phrases, subject-verb agreement, quantifiers, adverbs, comparison of adjectives and adverbs, English tenses, verbs followed by gerund or infinitive, the use of do and make, modal verbs, passive voice, prepositions, and sentence building. Exercises are provided under each grammar topic to help students practice and improve their understanding of English grammar. English Grammar Exercises For High-School Students   This document provides an overview of English grammar exercises for"
